iter	Passed	Remaining
0	153	306053
1	156	156730
2	161	107225
3	175	87344
4	190	76166
5	197	65601
6	212	60463
7	228	56937
8	238	52794
9	244	48748
10	257	46571
11	273	45358
12	282	43137
13	292	41441
14	309	40925
15	322	40011
16	347	40537
17	357	39335
18	368	38405
19	377	37408
20	383	36100
21	398	35857
22	405	34869
23	409	33705
24	415	32788
25	440	33408
26	448	32739
27	456	32131
28	482	32815
29	485	31910
30	494	31400
31	518	31886
32	523	31205
33	537	31051
34	543	30505
35	552	30158
36	568	30137
37	576	29780
38	590	29690
39	612	29996
40	621	29673
41	635	29643
42	643	29304
43	659	29323
44	664	28867
45	669	28438
46	676	28125
47	682	27766
48	694	27660
49	709	27652
50	715	27326
51	732	27442
52	738	27114
53	746	26912
54	749	26519
55	756	26257
56	766	26117
57	774	25922
58	777	25574
59	780	25228
60	790	25127
61	793	24814
62	799	24579
63	808	24464
64	812	24184
65	818	23986
66	826	23832
67	830	23609
68	834	23343
69	841	23209
70	847	23019
71	858	22985
72	863	22786
73	868	22612
74	871	22374
75	874	22146
76	878	21939
77	887	21871
78	892	21690
79	896	21526
80	908	21519
81	912	21346
82	915	21153
83	927	21149
84	934	21054
85	944	21029
86	948	20860
87	953	20709
88	974	20925
89	989	20993
90	1001	21000
91	1008	20911
92	1014	20795
93	1021	20719
94	1030	20667
95	1033	20505
96	1056	20727
97	1064	20661
98	1150	22085
99	1174	22314
100	1181	22215
101	1191	22163
102	1195	22025
103	1199	21861
104	1204	21734
105	1222	21852
106	1232	21801
107	1237	21679
108	1241	21541
109	1252	21525
110	1260	21458
111	1267	21359
112	1271	21231
113	1277	21127
114	1281	21000
115	1294	21018
116	1298	20894
117	1305	20818
118	1310	20716
119	1316	20621
120	1321	20524
121	1334	20549
122	1339	20446
123	1344	20345
124	1350	20258
125	1354	20139
126	1364	20122
127	1370	20045
128	1377	19974
129	1381	19868
130	1390	19835
131	1393	19718
132	1396	19603
133	1408	19612
134	1418	19594
135	1424	19522
136	1433	19487
137	1436	19387
138	1441	19298
139	1452	19292
140	1458	19232
141	1477	19330
142	1481	19244
143	1496	19284
144	1503	19230
145	1509	19167
146	1512	19066
147	1523	19059
148	1535	19076
149	1541	19015
150	1549	18974
151	1552	18875
152	1556	18787
153	1559	18698
154	1567	18653
155	1576	18633
156	1589	18661
157	1593	18579
158	1596	18490
159	1600	18400
160	1610	18390
161	1619	18378
162	1625	18317
163	1630	18255
164	1634	18181
165	1638	18102
166	1642	18031
167	1652	18021
168	1659	17975
169	1664	17921
170	1674	17907
171	1680	17855
172	1693	17884
173	1700	17850
174	1703	17768
175	1709	17715
176	1716	17682
177	1720	17615
178	1731	17617
179	1736	17556
180	1742	17512
181	1748	17464
182	1751	17389
183	1762	17393
184	1766	17327
185	1777	17333
186	1780	17263
187	1788	17242
188	1791	17170
189	1794	17097
190	1798	17034
191	1804	16989
192	1807	16926
193	1831	17053
194	1834	16981
195	1837	16913
196	1840	16840
197	1849	16832
198	1854	16781
199	1866	16801
200	1875	16789
201	1879	16727
202	1883	16677
203	1892	16660
204	1895	16597
205	1898	16535
206	1909	16539
207	1920	16547
208	1924	16491
209	1930	16454
210	1934	16400
211	1937	16340
212	1940	16282
213	1950	16277
214	1961	16288
215	1965	16230
216	1969	16184
217	1976	16156
218	1980	16104
219	1983	16046
220	1992	16037
221	1996	15993
222	2005	15981
223	2011	15945
224	2017	15915
225	2022	15879
226	2025	15820
227	2028	15768
228	2035	15738
229	2045	15738
230	2049	15698
231	2053	15647
232	2062	15638
233	2065	15586
234	2067	15531
235	2078	15536
236	2086	15524
237	2092	15490
238	2101	15481
239	2105	15440
240	2109	15395
241	2119	15394
242	2127	15383
243	2133	15353
244	2136	15302
245	2143	15286
246	2147	15237
247	2151	15196
248	2160	15193
249	2171	15202
250	2174	15155
251	2180	15126
252	2187	15108
253	2193	15077
254	2196	15034
255	2205	15024
256	2216	15034
257	2220	14995
258	2224	14954
259	2234	14954
260	2238	14912
261	2250	14926
262	2253	14882
263	2262	14879
264	2266	14837
265	2269	14796
266	2282	14815
267	2296	14843
268	2307	14850
269	2333	14954
270	2346	14969
271	2358	14985
272	2374	15023
273	2389	15049
274	2394	15021
275	2399	14985
276	2401	14940
277	2404	14895
278	2413	14885
279	2418	14855
280	2431	14872
281	2434	14830
282	2441	14812
283	2444	14772
284	2448	14733
285	2456	14722
286	2462	14698
287	2473	14704
288	2478	14674
289	2484	14652
290	2489	14618
291	2492	14580
292	2497	14547
293	2503	14524
294	2506	14486
295	2520	14507
296	2530	14511
297	2536	14484
298	2546	14484
299	2549	14447
300	2557	14433
301	2571	14456
302	2574	14421
303	2578	14383
304	2591	14400
305	2605	14425
306	2614	14418
307	2617	14379
308	2623	14356
309	2654	14473
310	2663	14465
311	2667	14432
312	2670	14396
313	2679	14386
314	2684	14359
315	2693	14355
316	2700	14337
317	2706	14314
318	2724	14356
319	2734	14354
320	2738	14322
321	2746	14313
322	2751	14283
323	2754	14247
324	2756	14208
325	2766	14207
326	2774	14193
327	2779	14169
328	2790	14171
329	2793	14138
330	2797	14105
331	2809	14114
332	2822	14129
333	2827	14102
334	2836	14097
335	2841	14072
336	2844	14035
337	2851	14021
338	2855	13992
339	2869	14007
340	2875	13989
341	2879	13960
342	2885	13939
343	2895	13940
344	2907	13949
345	2912	13924
346	2916	13894
347	2925	13887
348	2930	13864
349	2940	13864
350	2947	13848
351	2957	13846
352	2965	13836
353	2969	13805
354	2972	13774
355	2982	13773
356	2992	13771
357	2997	13749
358	3002	13725
359	3009	13708
360	3016	13693
361	3023	13681
362	3031	13673
363	3037	13650
364	3041	13623
365	3047	13606
366	3051	13576
367	3058	13564
368	3074	13591
369	3079	13564
370	3096	13596
